ability_id,ability_short_effect_markup,ability_short_effect_html
11,"Whenever a {WATER;TYPE;Water}-type move hits this Pokémon, it heals for <span style=""font-size: 1.3rem"">¼</span> of its maximum {HP;STAT;HP}, negating any other effect on it.<br/>
Water moves will ignore this Pokémon's {Substitute;MOVE;substitute}.","Whenever a <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span>-type move hits this Pokémon, it heals for <span style=""font-size: 1.3rem"">¼</span> of its maximum <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, negating any other effect on it.<br>
Water moves will ignore this Pokémon's <a href=""/moves/substitute"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Substitute</span></a>."
12,"This Pokémon cannot be {infatuated;STATUS;-} and is immune to {Captivate;MOVE;captivate}.<br/>
If a Pokémon is infatuated and acquires this ability, its infatuation is cleared.","This Pokémon cannot be <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>infatuated</span></a> and is immune to <a href=""/moves/captivate"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Captivate</span></a>.<br>
If a Pokémon is infatuated and acquires this ability, its infatuation is cleared."
13,"While this Pokémon is in battle, {weather;WEATHER;WEATHER} can still be in play, but will not have any of its effects.<br/>
This ability functions identically to {Air Lock;ABILITY;air-lock}.","While this Pokémon is in battle, <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">weather</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/weather_weather.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> can still be in play, but will not have any of its effects.<br>
This ability functions identically to <a href=""/abilities/air-lock"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Air Lock</span></a>."
14,"This Pokémon's moves have 1.3x their {accuracy;STAT;ACCURACY}.<br/>
This ability has no effect on the one-hit KO moves ({Fissure;MOVE;fissure}, {Guillotine;MOVE;guillotine}, {Horn Drill;MOVE;horn-drill}, and {Sheer Cold;MOVE;sheer-cold}).<br/>
Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised:
<table>
  <thead>
  	<tr>
    	<th>Original Chance</th>
    	<th>Raised Chance</th>
    </tr>
  </thead>
  <tbody>
  	<tr>
    	<td>50%</td>
    	<td>60%</td>
    </tr>
  	<tr>
    	<td>5%</td>
    	<td>20%</td>
    </tr>
  	<tr>
    	<td>1%</td>
    	<td>5%</td>
    </tr>
  </tbody>
</table>","This Pokémon's moves have 1.3x their <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">accuracy</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_accuracy.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>.<br>
This ability has no effect on the one-hit KO moves (<a href=""/moves/fissure"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fissure</span></a>, <a href=""/moves/guillotine"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Guillotine</span></a>, <a href=""/moves/horn-drill"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Horn Drill</span></a>, and <a href=""/moves/sheer-cold"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Sheer Cold</span></a>).<br>
Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised:
<table>
  <thead>
  	<tr>
    	<th>Original Chance</th>
    	<th>Raised Chance</th>
    </tr>
  </thead>
  <tbody>
  	<tr>
    	<td>50%</td>
    	<td>60%</td>
    </tr>
  	<tr>
    	<td>5%</td>
    	<td>20%</td>
    </tr>
  	<tr>
    	<td>1%</td>
    	<td>5%</td>
    </tr>
  </tbody>
</table>"
15,"This Pokémon cannot be {asleep;STATUS;sleep}.<br/>
This causes {Rest;MOVE;rest} to fail altogether.<br/>
If a Pokémon is asleep and acquires this ability, it will immediately wake up. This includes when regaining a lost ability upon leaving battle.<br/>
This ability functions identically to {Vital Spirit;ABILITY;vital-spirit} in battle.","This Pokémon cannot be <a href=""/status_conditions/sleep"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>asleep</span><img src=""https://cdn.pokedb.org/95b032e0772eeebe541ef305048f404e8f387a32869b148f0bb17c26c0b18343"" width=""20"" height=""20"" alt=""Status Condition Icon for Sleep"" style=""width: 20px; height: 20px""></a>.<br>
This causes <a href=""/moves/rest"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Rest</span></a> to fail altogether.<br>
If a Pokémon is asleep and acquires this ability, it will immediately wake up. This includes when regaining a lost ability upon leaving battle.<br>
This ability functions identically to <a href=""/abilities/vital-spirit"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Vital Spirit</span></a> in battle."
16,"Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move.<br/>
If the Pokémon has two types, both are overridden.<br/>
The Pokémon must directly take damage. For example, moves blocked by a {Substitute;MOVE;substitute} will not trigger this ability, nor will moves that deal damage indirectly, such as {Spikes;MOVE;spikes}.<br/>
This ability takes effect on only the last hit of a multiple-hit attack.<br/>
In {col;GAME;colosseum} and {XD;GAME;xd}, this ability does not take effect on Shadow-type moves.","Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move.<br>
If the Pokémon has two types, both are overridden.<br>
The Pokémon must directly take damage. For example, moves blocked by a <a href=""/moves/substitute"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Substitute</span></a> will not trigger this ability, nor will moves that deal damage indirectly, such as <a href=""/moves/spikes"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Spikes</span></a>.<br>
This ability takes effect on only the last hit of a multiple-hit attack.<br>
In <div class=""inline-flex max-w-max overflow-hidden rounded-md border-[2px] border-solid border-black""><span class=""flex h-full w-max items-center justify-center justify-items-center px-1 text-center font-bold"" style=""background-color: #87681A; color: #FFFFFF;"">COL</span></div> and <div class=""inline-flex max-w-max overflow-hidden rounded-md border-[2px] border-solid border-black""><span class=""flex h-full w-max items-center justify-center justify-items-center px-1 text-center font-bold"" style=""background-color: #182775; color: #FFFFFF;"">XD</span></div>, this ability does not take effect on Shadow-type moves."
17,"This Pokémon cannot be {poisoned;STATUS;poison}. This includes bad poison.<br/>
If a Pokémon is poisoned and acquires this ability, its poison is healed. This includes when regaining a lost ability upon leaving battle.","This Pokémon cannot be <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poisoned</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a>. This includes bad poison.<br>
If a Pokémon is poisoned and acquires this ability, its poison is healed. This includes when regaining a lost ability upon leaving battle."
18,"This Pokémon is immune to {FIRE;TYPE;Fire}-type moves.<br/>
nce this Pokémon has been hit by a {FIRE;TYPE;Fire}-type move, its own Fire moves will inflict 1.5x as much damage until it leaves battle.<br/>
This ability has no effect while the Pokémon is {frozen;STATUS;freeze}. The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.<br/>
{FIRE;TYPE;Fire} moves will ignore this Pokémon's {Substitute;MOVE;substitute}.<br/>
This ability takes effect even on non-damaging moves, i.e. {Will-O-Wisp;MOVE;will-o-wisp}.","This Pokémon is immune to <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span>-type moves.<br>
nce this Pokémon has been hit by a <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span>-type move, its own Fire moves will inflict 1.5x as much damage until it leaves battle.<br>
This ability has no effect while the Pokémon is <a href=""/status_conditions/freeze"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>frozen</span><img src=""https://cdn.pokedb.org/7908bbfc3cf65d06b49cfa0780d094a19c0e13a869e394469dad11fd7c93ca70"" width=""20"" height=""20"" alt=""Status Condition Icon for Freeze"" style=""width: 20px; height: 20px""></a>. The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.<br>
<span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span> moves will ignore this Pokémon's <a href=""/moves/substitute"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Substitute</span></a>.<br>
This ability takes effect even on non-damaging moves, i.e. <a href=""/moves/will-o-wisp"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Will-O-Wisp</span></a>."
19,"This Pokémon is immune to the extra effects of moves used against it.<br/>
An extra effect is a move's chance, listed as an ""effect chance"", to inflict a {major status effect;STATUS;-}, cause a {stat;STAT;STATS} change, or make the target {flinch;STATUS;flinch} in addition to the move's main effect.<br/>
For example, {Thunder Shock;MOVE;thunder-shock}'s {paralysis;STATUS;paralysis} is an extra effect, but {Thunder Wave;MOVE;thunder-wave}'s is not, nor are {Knock Off;MOVE;knock-off}'s item removal and {Air Cutter;MOVE;air-cutter}'s increased {critical hit;STAT;CRIT} rate.","This Pokémon is immune to the extra effects of moves used against it.<br>
An extra effect is a move's chance, listed as an ""effect chance"", to inflict a <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effect</span></a>, cause a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> change, or make the target <a href=""/status_conditions/"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>flinch</span><img src=""https://cdn.pokedb.org/0bf204778d94c12da1796a7b742f74dff77a5a7ad6d8a83ed6c19b1260d354fc"" width=""20"" height=""20"" alt=""Status Condition Icon for Flinch"" style=""width: 20px; height: 20px""></a> in addition to the move's main effect.<br>
For example, <a href=""/moves/thunder-shock"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Thunder Shock</span></a>'s <a href=""/status_conditions/paralysis"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>paralysis</span><img src=""https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a"" width=""20"" height=""20"" alt=""Status Condition Icon for Paralysis"" style=""width: 20px; height: 20px""></a> is an extra effect, but <a href=""/moves/thunder-wave"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Thunder Wave</span></a>'s is not, nor are <a href=""/moves/knock-off"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Knock Off</span></a>'s item removal and <a href=""/moves/air-cutter"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Air Cutter</span></a>'s increased <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">critical hit</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/stat_crit.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> rate."
20,"This Pokémon cannot be {confused;STATUS;confusion}.<br/>
If a Pokémon is confused and acquires this ability, its confusion will immediately be healed.","This Pokémon cannot be <a href=""/status_conditions/confusion"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>confused</span><img src=""https://cdn.pokedb.org/f162481dfa0d44b10562d008124e021314440a2180a1d25e8fe414ad8c2b1b0d"" width=""20"" height=""20"" alt=""Status Condition Icon for Confusion"" style=""width: 20px; height: 20px""></a>.<br>
If a Pokémon is confused and acquires this ability, its confusion will immediately be healed."
21,"This Pokémon cannot be forced out of battle by moves such as {Whirlwind;MOVE;whirlwind}.<br/>
{Dragon Tail;MOVE;dragon-tail} and {Circle Throw;MOVE;circle-throw} still inflict damage against this Pokémon.<br/>
Overworld: If the lead Pokémon has this ability, the success rate while fishing is increased.","This Pokémon cannot be forced out of battle by moves such as <a href=""/moves/whirlwind"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Whirlwind</span></a>.<br>
<a href=""/moves/dragon-tail"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dragon Tail</span></a> and <a href=""/moves/circle-throw"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Circle Throw</span></a> still inflict damage against this Pokémon.<br>
Overworld: If the lead Pokémon has this ability, the success rate while fishing is increased."
22,"When this Pokémon enters battle, the opponent's {Attack;STAT;ATTACK} is lowered by one stage.<br/>
In a double battle, both opponents are affected.<br/>
This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle.<br/>
This ability has no effect on an opponent that has a {Substitute;MOVE;substitute}.<br/>
Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.","When this Pokémon enters battle, the opponent's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> is lowered by one stage.<br>
In a double battle, both opponents are affected.<br>
This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle.<br>
This ability has no effect on an opponent that has a <a href=""/moves/substitute"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Substitute</span></a>.<br>
Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped."
23,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.<br/>
Other Pokémon with this ability are unaffected. Pokémon with {Run Away;ABILITY;run-away} can still flee.<br/>
Pokémon can still switch out with the use of a move or item.","While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.<br>
Other Pokémon with this ability are unaffected. Pokémon with <a href=""/abilities/run-away"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Run Away</span></a> can still flee.<br>
Pokémon can still switch out with the use of a move or item."
24,"Whenever a move makes contact with this Pokémon, the move's user takes <span style=""font-size: 1.3rem"">⅛</span> of its maximum {HP;STAT;HP} in damage.<br/>
This ability functions identically to {Iron Barbs;ABILITY;iron-barbs}.","Whenever a move makes contact with this Pokémon, the move's user takes <span style=""font-size: 1.3rem"">⅛</span> of its maximum <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> in damage.<br>
This ability functions identically to <a href=""/abilities/iron-barbs"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Iron Barbs</span></a>."
25,"This Pokémon is immune to damaging moves that are not super effective against it.<br/>
Moves that inflict fixed damage, such as {Night Shade;MOVE;night-shade} or {Seismic Toss;MOVE;seismic-toss}, are considered super effective if their types are.<br/>
Damage not directly dealt by moves, such as damage from {weather;WEATHER;WEATHER}, a {major status effect;STATUS;-}, or {Spikes;MOVE;spikes}, is not prevented.<br/>
This ability cannot be copied with {Role Play;MOVE;role-play} or traded away with {Skill Swap;MOVE;skill-swap}, but it can be copied with {Trace;ABILITY;trace}, disabled with {Gastro Acid;MOVE;gastro-acid}, or changed with {Worry Seed;MOVE;worry-seed}.<br/>
This Pokémon can still use Role Play itself to lose this ability, but not {Skill Swap;MOVE;skill-swap}.<br/>
If this Pokémon has a {Substitute;MOVE;substitute}, this ability will block moves as usual and any moves not blocked will react to the Substitute as usual.","This Pokémon is immune to damaging moves that are not super effective against it.<br>
Moves that inflict fixed damage, such as <a href=""/moves/night-shade"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Night Shade</span></a> or <a href=""/moves/seismic-toss"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Seismic Toss</span></a>, are considered super effective if their types are.<br>
Damage not directly dealt by moves, such as damage from <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">weather</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/weather_weather.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, a <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effect</span></a>, or <a href=""/moves/spikes"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Spikes</span></a>, is not prevented.<br>
This ability cannot be copied with <a href=""/moves/role-play"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Role Play</span></a> or traded away with <a href=""/moves/skill-swap"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Skill Swap</span></a>, but it can be copied with <a href=""/abilities/trace"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Trace</span></a>, disabled with <a href=""/moves/gastro-acid"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Gastro Acid</span></a>, or changed with <a href=""/moves/worry-seed"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Worry Seed</span></a>.<br>
This Pokémon can still use Role Play itself to lose this ability, but not <a href=""/moves/skill-swap"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Skill Swap</span></a>.<br>
If this Pokémon has a <a href=""/moves/substitute"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Substitute</span></a>, this ability will block moves as usual and any moves not blocked will react to the Substitute as usual."
26,"This Pokémon is immune to {GROUND;TYPE;Ground}-type moves, {Spikes;MOVE;spikes}, {Toxic Spikes;MOVE;toxic-spikes}, and {Arena Trap;ABILITY;arena-trap}.<br/>
This ability is disabled during {Gravity;MOVE;gravity} or {Ingrain;MOVE;ingrain}, or while holding an {Iron Ball;ITEM;iron-ball}.<br/>
This ability is not disabled during {Roost;MOVE;roost}.","This Pokémon is immune to <span style=""background-color: #89532A; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Ground"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/482346bac5a73b0b3bbcb12b277cc9f16954df1127911bbe69ca10f9825f8096"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Ground""><span style=""color: rgb(255, 255, 255);"">Ground</span></a></span>-type moves, <a href=""/moves/spikes"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Spikes</span></a>, <a href=""/moves/toxic-spikes"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Toxic Spikes</span></a>, and <a href=""/abilities/arena-trap"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Arena Trap</span></a>.<br>
This ability is disabled during <a href=""/moves/gravity"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Gravity</span></a> or <a href=""/moves/ingrain"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Ingrain</span></a>, or while holding an <a href=""/items/iron-ball"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Iron Ball</span><img src=""https://cdn.pokedb.org/6668e94bfe5a71d7cbabe10b36785f2950fb3c2051ba9cb88b563031dd894b9cw20h20"" width=""20"" height=""20"" alt=""Item Icon for Iron Ball"" style=""width: 20px; height: 20px""></a>.<br>
This ability is not disabled during <a href=""/moves/roost"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Roost</span></a>."
27,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being {paralyzed;STATUS;paralysis}, {poisoned;STATUS;poison}, or put to {sleep;STATUS;sleep}, chosen at random.<br/>
Nothing is done to compensate if the move's user is immune to one of these ailments. There is simply a lower chance that the move's user will be affected.","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being <a href=""/status_conditions/paralysis"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>paralyzed</span><img src=""https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a"" width=""20"" height=""20"" alt=""Status Condition Icon for Paralysis"" style=""width: 20px; height: 20px""></a>, <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poisoned</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a>, or put to <a href=""/status_conditions/sleep"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>sleep</span><img src=""https://cdn.pokedb.org/95b032e0772eeebe541ef305048f404e8f387a32869b148f0bb17c26c0b18343"" width=""20"" height=""20"" alt=""Status Condition Icon for Sleep"" style=""width: 20px; height: 20px""></a>, chosen at random.<br>
Nothing is done to compensate if the move's user is immune to one of these ailments. There is simply a lower chance that the move's user will be affected."
28,"Whenever this Pokémon is {burned;STATUS;burn}, {paralyzed;STATUS;paralysis}, or {poisoned;STATUS;poison}, the Pokémon who gave this Pokémon that ailment is also given the ailment.<br/>
This ability passes back {bad poison;STATUS;poison} when this Pokémon is badly poisoned.<br/>
This ability cannot pass on a status ailment that the Pokémon did not directly receive from another Pokémon, such as the poison from {Toxic Spikes;MOVE;toxic-spikes} or the burn from a {Flame Orb;ITEM;flame-orb}.<br/>
Overworld: If the lead Pokémon has this ability, wild Pokémon have a 50% chance of having the lead Pokémon's nature, and a 50% chance of being given a random nature as usual, including the lead Pokémon's nature.<br/>
This does not work on Pokémon received outside of battle or roaming legendaries.","Whenever this Pokémon is <a href=""/status_conditions/burn"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>burned</span><img src=""https://cdn.pokedb.org/43b62270be0491a799d2e037aafe0a325e3436593d071f0fac932b3e9eed2cfa"" width=""20"" height=""20"" alt=""Status Condition Icon for Burn"" style=""width: 20px; height: 20px""></a>, <a href=""/status_conditions/paralysis"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>paralyzed</span><img src=""https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a"" width=""20"" height=""20"" alt=""Status Condition Icon for Paralysis"" style=""width: 20px; height: 20px""></a>, or <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poisoned</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a>, the Pokémon who gave this Pokémon that ailment is also given the ailment.<br>
This ability passes back <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>bad poison</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a> when this Pokémon is badly poisoned.<br>
This ability cannot pass on a status ailment that the Pokémon did not directly receive from another Pokémon, such as the poison from <a href=""/moves/toxic-spikes"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Toxic Spikes</span></a> or the burn from a <a href=""/items/flame-orb"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Flame Orb</span><img src=""https://cdn.pokedb.org/c836511e5cb96bcdaca09e44b9c4ce7b10084da1c29b296ea97ed4739df25d00w20h20"" width=""20"" height=""20"" alt=""Item Icon for Flame Orb"" style=""width: 20px; height: 20px""></a>.<br>
Overworld: If the lead Pokémon has this ability, wild Pokémon have a 50% chance of having the lead Pokémon's nature, and a 50% chance of being given a random nature as usual, including the lead Pokémon's nature.<br>
This does not work on Pokémon received outside of battle or roaming legendaries."
